Here is the full classification table for all 386 vendors:

| # | Vendor Name | Spend (USD) | Category | Department |
|---|---|---|---|---|
| 1 | (Blank) | 137.30 | Other | G&A |
| 2 | 4I Advisory Services | 71,860.34 | Professional Services | Professional Services |
| 3 | 4I Management Consulting Private Limited | 12,117.49 | Management Consulting | Professional Services |
| 4 | 4Imprint Direct Ltd | 2,436.14 | Promotional Products | Marketing |
| 5 | 6Sense Insights Inc | 75.56 | Marketing Intelligence | Marketing |
| 6 | Acclime Corporate Services | 5,412.87 | Corporate Services | G&A |
| 7 | Acclime Usa, Inc | 4,994.98 | Corporate Services | G&A |
| 8 | Accutrainee Limited | 38,840.80 | Training & Development | G&A |
| 9 | Adamma Info Services Private Limited | 273.33 | IT Services | Engineering |
| 10 | Adobe Systems Software | 3,928.65 | Creative Software | Marketing |
| 11 | Advena | 153.89 | Other | G&A |
| 12 | Aetna Life And Casualty Ltd | 124,661.46 | Health Insurance | G&A |
| 13 | Ag Grid Ltd | 2,653.27 | Developer Tools | Engineering |
| 14 | Agram Life Osiguranje D.O.O. | 24,952.20 | Insurance | G&A |
| 15 | Aha! Labs Inc | 3,689.33 | Product Management | Product |
| 16 | Akton D.O.O. | 3,253.58 | Professional Services | Professional Services |
| 17 | Allianz Australia Workers' Compensation (Victoria) Limited | 6,098.63 | Insurance | G&A |
| 18 | Allianz Wa | 970.71 | Insurance | G&A |
| 19 | Amazon (Aus) | 233.31 | E-commerce | G&A |
| 20 | Amazon Web Services Inc. | 5,153.06 | Cloud Infrastructure | Engineering |
| 21 | Amazon Web Services Llc | 106,399.24 | Cloud Infrastructure | Engineering |
| 22 | Amazon.Co.Uk | 1,106.95 | E-commerce | G&A |
| 23 | Ansar Madovic | 1,731.95 | Freelance / Contractor | G&A |
| 24 | Apple - Amer | 763.79 | Hardware | G&A |
| 25 | Apple Distribution International Ltd | 1,913.32 | Hardware | G&A |
| 26 | Apple Pty Ltd | 2,030.82 | Hardware | G&A |
| 27 | Apple Retail Uk Ltd | 3,548.08 | Hardware | G&A |
| 28 | Aquila Remete D.O.O. | 1,706.40 | Facilities | Facilities |
| 29 | Arena Center Zagreb D.O.O. | 567.10 | Event Venue | Facilities |
| 30 | Ariba Inc | 1,363.25 | Procurement Software | Finance |
| 31 | Athlete Service Ltd | 5,284.80 | Employee Wellness | G&A |
| 32 | Atlassian Pty Ltd | 223.92 | Developer Tools | Engineering |
