---

# STEP 15 — CONFIDENCE & REVIEW REPORT
**Vendor Spend Strategy Assessment**
**Portfolio: 386 vendors | Total spend: $7,887,360**
**Review date: 2026-03-21**

---

## SECTION 1 — CONFIDENCE SUMMARY

| Category | Count |
|---|---|
| **Total vendors reviewed** | **386** |
| HIGH confidence | 315 |
| MEDIUM confidence | 46 |
| LOW confidence | 24 |
| **Data integrity gap** | **1 (Zuric — unresolved)** |

---

## SECTION 2 — INDIVIDUAL CONFIDENCE ASSESSMENT

### 2A — OPTIMIZE VENDORS (27)

| Vendor Name | Spend (USD) | Confidence | Reason if MEDIUM or LOW |
|---|---|---|---|
| Salesforce UK Ltd-UK | 3,117,226 | **HIGH** | |
| Amazon Web Services LLC | 106,399 | **HIGH** | |
| Google Ireland Limited | 24,798 | **HIGH** | |
| Microsoft Ireland Operations Limited | 9,822 | **HIGH** | |
| BDO LLP | 343,081 | **HIGH** | |
| Navan (TripActions Inc) | 357,984 | **HIGH** | |
| TOG UK Properties Limited | 263,821 | **HIGH** | |
| RSM UK Corporate Finance LLP | 117,078 | **HIGH** | |
| Aetna Life And Casualty Ltd | 124,661 | **HIGH** | |
| Telefonica Global Services GmbH | 89,880 | **HIGH** | |
| Infosys | 66,570 | **HIGH** | |
| LinkedIn Ireland Limited | 55,573 | **HIGH** | |
| HubSpot Ireland Limited | 32,187 | **HIGH** | |
| WeWork Singapore Pte. Ltd. | 64,373 | **HIGH** | |
| Cloudcrossing BVBA | 208,675 | **MEDIUM** | Belgian entity; not a globally recognised brand — Optimize label is correct directionally (renegotiate contract, review SLA), but Step 08 scores it 3 (substitutable) and flags Consolidate as score-aligned. Classification nuance; recommend keeping Optimize with a note that consolidation evaluation should run in parallel. |
| Innovent Spaces Private Limited | 147,348 | **MEDIUM** | India-region operator; limited publicly available information to verify nature of engagement (owned/leased space vs. managed workspace). Utilisation data required to validate right-sizing lever. |
| Jensten Insurance Brokers | 142,700 | **MEDIUM** | UK insurance broker; not widely known outside UK mid-market. Coverage scope and competing broker options not fully established from name alone — benchmark data needed to confirm renegotiation lever. |
| GPT Space & Co | 133,507 | **MEDIUM** | "GPT" (Goodman Property Trust) is an Australian REIT operator; less known in the context of a global vendor registry. Overlap with TOG/WeWork/Innovent consolidation group confirmed, but site-level utilisation data required. |
| HR Solution International GmbH | 80,823 | **MEDIUM** | HR outsourcing/PEO; recognisable category, entity is not a global brand. Duplicate AG entity ($6,987 Consolidate) compounds the overlap — master agreement scope needs confirmation. |
| Bisley Law Ltd | 67,414 | **MEDIUM** | UK law firm; not a panel firm listed in public directories — matter-level billing review is the right action but scope of ongoing matters is unverified from name alone. |
| Harmonic Group Limited | 65,418 | **MEDIUM** | Engineering services; not a widely known entity — could be a specialist contractor, staffing provider, or embedded delivery team. Rate benchmarking lever is sound but engagement structure needs verification. |
| Big Frontier Pty Ltd (Cult Of Monday) | 66,131 | **MEDIUM** | Dual legal name creates ambiguity — "Big Frontier" and "Cult Of Monday" are distinct identities. Marketing agency classification is correct but brand-level deliverable review is required to confirm ROI-based optimisation lever. |
| Cloud Technology Solutions Ltd | 60,661 | **MEDIUM** | Generic name — multiple entities trade under similar names. Cloud services classification is reasonable but scope overlap with Cloudcrossing/AWS needs confirmation at contract level. |
| Kimble Applications Ltd | 52,825 | **MEDIUM** | PSA/project management SaaS (formerly Kimble, now part of Certinia/FinancialForce ecosystem). Correctly identified as overlapping with Atlassian/Salesforce, but product mapping to existing stack needs validation. |
| Weking D.O.O. | 144,093 | **LOW** | Croatian legal entity — name alone gives no indication of service type, industry, or engagement scope. Engineering services classification is inferred from department field only. Human verification of contract deliverables required before any action. |
| Zagrebtower D.O.O. | 183,754 | **LOW** | Croatian entity; "Zagrebtower" implies a building/coworking address in Zagreb, but engagement terms (lease vs. service) are unverifiable from the name alone. At $183K this is a high-value classification — facilities right-sizing lever requires actual headcount and lease data. |
| 4I Advisory Services | 71,860 | **LOW** | Generic name. No public information identifies this entity's scope, deliverables, industry focus, or jurisdiction. "Professional Services" classification is a fallback. Requires human review of contract scope before any renegotiation or termination action. |

---

### 2B — CONSOLIDATE VENDORS (22)

| Vendor Name | Spend (USD) | Confidence | Reason if MEDIUM or LOW |
|---|---|---|---|
| Navan (TripActions Inc) | 357,984 | **HIGH** | |
| Navan, Inc | 57,929 | **HIGH** | |
| Tmforum | 57,560 | **HIGH** | |
| Tm Forum | 510 | **HIGH** | |
| Bupa Australia | 12,463 | **HIGH** | |
| Bupa- Supplier | 22,800 | **HIGH** | |
| Amazon Web Services Inc. | 5,153 | **HIGH** | |
| Apple - Amer | 764 | **HIGH** | |
| Apple Distribution International Ltd | 1,913 | **HIGH** | |
| Apple Pty Ltd | 2,031 | **HIGH** | |
| Apple Retail Uk Ltd | 3,548 | **HIGH** | |
| Allianz Australia Workers' Comp | 6,099 | **HIGH** | |
| Allianz Wa | 971 | **HIGH** | |
| DHL | 191 | **HIGH** | |
| DHL Express (Uk) Ltd | 119 | **HIGH** | |
| Atlassian Pty Ltd | 224 | **HIGH** | |
| Trello | 6,674 | **HIGH** | |
| Slack Technologies Limited | 1,989 | **HIGH** | |
| Acclime Corporate Services | 5,413 | **MEDIUM** | Regional corporate secretarial firm; less known globally. Consolidation action (merge with Acclime USA) is correct, but scope of services across jurisdictions should be confirmed before merging AP records. |
| Acclime Usa, Inc | 4,995 | **MEDIUM** | Duplicate regional entity — same caveat as above. |
| HRsolution International Ag | 6,987 | **MEDIUM** | Duplicate HR Solution entity (AG vs. GmbH); classification is correct but the distinction between entities (jurisdiction, legal scope) should be verified before closure to avoid compliance gap. |
| Specijalisticka Ordinacija Medicine Rada Helena Blazic | 20 | **LOW** | Croatian-language name — occupational health clinic, deduced from "medicina rada" (occupational medicine). Micro-spend ($20), Consolidate action is sound, but clinic identity and regulatory status should be verified by in-country HR/Legal before closing vendor record. |
| Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos | 20 | **LOW** | Same as above — second Croatian occupational health clinic. Duplicate consolidation is correct but verify in-country statutory compliance obligations before closure. |

---

### 2C — TERMINATE VENDORS WITH STEP 08 SCORE CONFLICTS (42)

These vendors are currently recommended Terminate but scored 2–3 in Step 08, suggesting Consolidate. They represent the highest classification risk in the portfolio.

**Score 3 — Confirmed Platform Value:**

| Vendor Name | Spend (USD) | Confidence | Reason |
|---|---|---|---|
| Sage UK Limited | 46,895 | **HIGH** | Well-known accounting platform — Terminate is incorrect given Score 3. Consolidate with Planful (evaluate, keep one) is the correct action. Flag for reclassification. |
| Planful, Inc. | 27,741 | **HIGH** | FP&A SaaS — Terminate is incorrect given Score 3. Evaluate vs. Sage, retain one. Flag for reclassification. |
| Cognism Limited | 27,013 | **HIGH** | Sales intelligence platform — active subscription with distinct capability from LinkedIn; Terminate without migration plan creates a data gap. Flag for reclassification to Consolidate. |
| Peakon APS | 17,108 | **HIGH** | Employee engagement analytics (now Workday Peakon) — Terminate without migration plan loses survey data continuity. Consolidate with PerformancePro, keep Peakon. Flag for reclassification. |
